Sentence;Is Formal?
Ia mengaku sempat menimbang perbandingan biaya antara mudik dengan pesawat dan bus. ;1
Selain lebih murah, Ia mengatakan, mudik dengan pesawat tidak membuat lelah karena waktu tempuh yang cepat. ;1
Dua hari menjelang Hari Raya Idul Fitri atau Lebaran, sebagian masyarakat memilih untuk mulai bertolak ke kampung halaman pada hari Sabtu.;1
Dia menargetkan jumlah pengunjung kali ini bisa meningkat jika dibandingkan tahun 2020.;1
Dalam rangka mencapai target tersebut, pihak penyelenggara pun menambah jam operasional di sejumlah wahananya.;1
Gue sih yang penting kerjaan gue bisa membiayai hidup gue.;0
Gue sekarang lagi berusaha nyari kerja.;0
Lu berkunjung ke tempat gw, lah, supaya kita bisa ngobrol.;0
Emang agak susah sih buat ngobrol sama mereka.;0
Gue cek kok ga ada opsi buat ngelakuin hal itu, ya.;0
Maaf, bro, gue lagi makan siang tadi.;0
Tugas ini susah banget deh buat diselesein.;0
Gue udah makan di restoran itu kemaren.;0
Mending kita naik pesawat supaya ga kena macet di jalan.;0
Gue lagi dalam perjalanan ke rumah lu, ya.;0
Tolong kasih tau, ya, kalo udah sampe di depan rumah gue.;0
